date,value
1927-11-15,367.039
1927-12-15,336.458
1928-01-14,369.562
1928-02-13,351.699
1928-03-14,366.774
1928-04-13,370.164
1928-05-13,404.421
1928-06-12,405.706
1928-07-12,401.664
1928-08-11,400.816
1928-09-10,371.169
1928-10-10,379.908
1928-11-09,367.301
1928-12-09,341.861
1929-01-08,370.906
1929-02-07,348.649
1929-03-09,367.029
1929-04-08,361.874
1929-05-08,386.708
1929-06-07,394.421
1929-07-07,405.358
1929-08-06,401.286
1929-09-05,372.518
1929-10-05,384.535
1929-11-04,375.071
1929-12-04,347.317
1930-01-03,385.160
1930-02-02,356.304
1930-03-04,364.037
1930-04-03,369.622
1930-05-03,403.246
1930-06-02,409.937
1930-07-02,406.921
1930-08-01,397.421
1930-08-31,373.864
1930-09-30,387.040
1930-10-30,365.615
1930-11-29,356.073
1930-12-29,375.757
1931-01-28,354.291
1931-02-27,363.155
1931-03-29,364.436
1931-04-28,401.530
1931-05-28,433.235
1931-06-27,418.260
1931-07-27,400.007
1931-08-26,381.735
1931-09-25,393.910
1931-10-25,389.768
1931-11-24,362.745
1931-12-24,388.009
1932-01-23,365.318
1932-02-22,379.700
1932-03-23,377.721
1932-04-22,408.509
1932-05-22,421.843
1932-06-21,419.884
1932-07-21,406.982
1932-08-20,375.457
1932-09-19,378.945
1932-10-19,379.150
1932-11-18,348.655
1932-12-18,393.820
1933-01-17,360.007
1933-02-16,365.692
1933-03-18,361.494
1933-04-17,402.365
1933-05-17,410.281
1933-06-16,403.899
1933-07-16,399.712
1933-08-15,371.282
1933-09-14,381.403
1933-10-14,391.535
1933-11-13,346.502
1933-12-13,378.707
1934-01-12,355.712
1934-02-11,371.378
1934-03-13,361.625
1934-04-12,400.546
1934-05-12,405.190
1934-06-11,399.869
1934-07-11,396.759
1934-08-10,362.598
1934-09-09,366.121
1934-10-09,372.979
1934-11-08,362.073
1934-12-08,374.491
1935-01-07,351.343
1935-02-06,368.219
1935-03-08,368.417
1935-04-07,399.796
1935-05-07,389.983
1935-06-06,396.881
1935-07-06,387.056
1935-08-05,366.059
1935-09-04,375.188
1935-10-04,351.928
1935-11-03,326.407
1935-12-03,360.135
1936-01-02,325.638
1936-02-01,338.129
1936-03-02,347.272
1936-04-01,369.875
1936-05-01,375.680
1936-05-31,373.638
1936-06-30,356.998
1936-07-30,342.588
1936-08-29,351.762
1936-09-28,338.457
1936-10-28,316.138
1936-11-27,339.946
1936-12-27,327.739
1937-01-26,334.676
1937-02-25,328.090
1937-03-27,350.827
1937-04-26,360.044
1937-05-26,357.978
1937-06-25,358.170
1937-07-25,334.622
1937-08-24,347.243
1937-09-23,333.848
1937-10-23,300.058
1937-11-22,339.870
1937-12-22,307.180
1938-01-21,330.027
1938-02-20,329.068
1938-03-22,351.951
1938-04-21,361.226
1938-05-21,352.327
1938-06-20,345.693
1938-07-20,324.260
1938-08-19,327.848
1938-09-18,315.495
1938-10-18,296.290
1938-11-17,321.533
1938-12-17,312.578
1939-01-16,328.725
1939-02-15,327.758
1939-03-17,351.928
1939-04-16,356.689
1939-05-16,350.016
1939-06-15,347.914
1939-07-15,322.908
1939-08-14,349.431
1939-09-13,325.546
1939-10-13,313.103
1939-11-12,328.188
1939-12-12,326.067
1940-01-11,337.728
1940-02-10,331.012
1940-03-11,362.237
1940-04-10,370.484
1940-05-10,364.925
1940-06-09,355.905
1940-07-09,339.961
1940-08-08,352.826
1940-09-07,346.092
1940-10-07,317.420
1940-11-06,347.615
1940-12-06,337.401
1941-01-05,344.517
1941-02-04,353.954
1941-03-06,377.289
1941-04-05,384.437
1941-05-05,381.166
1941-06-04,380.210
1941-07-04,357.216
1941-08-03,375.973
1941-09-02,347.147
1941-10-02,329.907
1941-11-01,355.652
1941-12-01,337.235
1941-12-31,339.741
1942-01-30,331.773
1942-03-01,343.596
1942-03-31,356.597
1942-04-30,369.613
1942-05-30,355.810
1942-06-29,343.159
1942-07-29,335.167
1942-08-28,324.829
1942-09-27,305.127
1942-10-27,321.664
1942-11-26,299.599
1942-12-26,316.151
1943-01-25,309.289
1943-02-24,310.626
1943-03-26,333.073
1943-04-25,333.250
1943-05-25,322.860
1943-06-24,315.984
1943-07-24,323.203
1943-08-23,304.560
1943-09-22,287.073
1943-10-22,314.300
1943-11-21,300.333
1943-12-21,306.384
1944-01-20,298.293
1944-02-19,314.966
1944-03-20,326.935
1944-04-19,327.108
1944-05-19,311.922
1944-06-18,301.447
1944-07-18,307.521
1944-08-17,308.867
1944-09-16,281.798
1944-10-16,304.455
1944-11-15,291.578
1944-12-15,301.219
1945-01-14,302.565
1945-02-13,324.094
1945-03-15,327.829
1945-04-14,339.886
1945-05-14,336.498
1945-06-13,310.503
1945-07-13,328.522
1945-08-12,314.404
1945-09-11,289.548
1945-10-11,308.776
1945-11-10,298.203
1945-12-10,312.682
1946-01-09,302.100
1946-02-08,334.517
1946-03-10,344.256
1946-04-09,322.910
1946-05-09,326.670
1946-06-08,288.531
1946-07-08,318.630
1946-08-07,308.012
1946-09-06,290.187
1946-10-06,319.134
1946-11-05,289.293
1946-12-05,302.656
1947-01-04,300.412
1947-02-03,337.842
1947-03-05,334.411
1947-04-04,344.215
1947-05-04,334.763
1947-06-03,313.253
1947-07-03,327.883
1947-08-02,330.468
1947-09-01,308.921
1947-10-01,333.230
1947-10-31,312.870
1947-11-30,329.955
1947-12-30,328.919
1948-01-29,359.340
1948-02-28,358.318
1948-03-29,351.240
1948-04-28,341.730
1948-05-28,317.660
1948-06-27,333.597
1948-07-27,317.994
1948-08-26,304.804
1948-09-25,346.273
1948-10-25,316.065
1948-11-24,330.826
1948-12-24,322.481
1949-01-23,360.394
1949-02-22,380.075
1949-03-24,352.241
1949-04-23,343.890
1949-05-23,334.309
1949-06-22,343.030
1949-07-22,334.660
1949-08-21,340.946
1949-09-20,360.687
1949-10-20,324.177
1949-11-19,314.555
1949-12-19,313.496
1950-01-18,357.768
1950-02-17,373.892
1950-03-19,378.994
1950-04-18,359.558
1950-05-18,331.507
1950-06-17,342.737
1950-07-17,350.291
1950-08-16,323.420
1950-09-15,340.814
1950-10-15,307.755
1950-11-14,319.001
1950-12-14,322.865
1951-01-13,387.148
1951-02-12,372.547
1951-03-14,357.931
1951-04-13,366.762
1951-05-13,337.301
1951-06-12,346.131
1951-07-12,354.970
1951-08-11,330.406
1951-09-10,351.626
1951-10-10,308.453
1951-11-09,323.487
1951-12-09,358.378
1952-01-08,366.009
1952-02-07,382.338
1952-03-08,377.570
1952-04-07,374.039
1952-05-07,334.448
1952-06-06,369.454
1952-07-06,352.222
1952-08-05,339.953
1952-09-04,372.524
1952-10-04,361.499
1952-11-03,365.429
1952-12-03,354.389
1953-01-02,389.532
1953-02-01,388.486
1953-03-03,396.187
1953-04-02,401.395
1953-05-02,364.071
1953-06-01,375.527
1953-07-01,383.237
1953-07-31,355.869
1953-08-30,383.636
1953-09-29,341.187
1953-10-29,367.720
1953-11-28,385.491
1953-12-28,412.075
1954-01-27,413.546
1954-02-26,402.443
1954-03-28,410.202
1954-04-27,385.236
1954-05-27,400.552
1954-06-26,389.418
1954-07-26,342.966
1954-08-25,382.253
1954-09-24,348.372
1954-10-24,375.073
1954-11-23,392.957
1954-12-23,433.616
1955-01-22,437.635
1955-02-21,425.208
1955-03-23,402.637
1955-04-22,380.044
1955-05-22,423.335
1955-06-21,396.924
1955-07-21,362.873
1955-08-20,383.372
1955-09-19,374.680
1955-10-19,391.395
1955-11-18,394.140
1955-12-18,435.051
1956-01-17,453.095
1956-02-16,448.236
1956-03-17,443.373
1956-04-16,415.558
1956-05-16,406.846
1956-06-15,389.192
1956-07-15,374.073
1956-08-14,411.311
1956-09-13,378.295
1956-10-13,406.622
1956-11-12,387.642
1956-12-12,437.763
1957-01-11,446.954
1957-02-10,440.779
1957-03-12,439.725
1957-04-11,423.278
1957-05-11,437.613
1957-06-10,430.136
1957-07-10,389.249
1957-08-09,417.727
1957-09-08,385.794
1957-10-08,396.286
1957-11-07,419.662
1957-12-07,471.398
1958-01-06,465.198
1958-02-05,455.124
1958-03-07,450.199
1958-04-06,425.910
1958-05-06,432.586
1958-06-05,427.641
1958-07-05,400.717
1958-08-04,430.669
1958-09-03,416.658
1958-10-03,431.114
1958-11-02,419.678
1958-12-02,474.326
1959-01-01,477.163
1959-01-31,482.599
1959-03-02,481.549
1959-04-01,425.956
1959-05-01,431.372
1959-05-31,432.895
1959-06-30,392.797
1959-07-30,424.231
1959-08-29,398.410
1959-09-28,415.550
1959-10-28,410.550
1959-11-27,448.578
1959-12-27,470.988
1960-01-26,477.757
1960-02-25,483.227
1960-03-26,436.434
1960-04-25,461.499
1960-05-25,442.115
1960-06-24,417.477
1960-07-24,462.211
1960-08-23,427.077
1960-09-22,416.810
1960-10-22,432.761
1960-11-21,464.473
1960-12-21,493.592
1961-01-20,479.398
1961-02-19,475.702
1961-03-21,440.447
1961-04-20,461.721
1961-05-20,438.267
1961-06-19,410.840
1961-07-19,430.812
1961-08-18,399.398
1961-09-17,422.023
1961-10-17,419.600
1961-11-16,480.543
1961-12-16,505.886
1962-01-15,490.286
1962-02-14,474.671
1962-03-16,447.134
1962-04-15,461.922
1962-05-15,468.780
1962-06-14,421.323
1962-07-14,457.330
1962-08-13,424.407
1962-09-12,443.202
1962-10-12,440.773
1962-11-11,471.550
1962-12-11,481.094
1963-01-10,499.955
1963-02-09,478.925
1963-03-11,433.915
1963-04-10,434.137
1963-05-10,429.030
1963-06-09,406.587
1963-07-09,458.811
1963-08-08,431.022
1963-09-07,429.907
1963-10-07,415.433
1963-11-06,467.768
1963-12-06,480.041
1964-01-05,481.624
1964-02-04,455.099
1964-03-05,431.226
1964-04-04,432.786
1964-05-04,461.158
1964-06-03,395.672
1964-07-03,450.893
1964-08-02,405.474
1964-09-01,441.950
1964-10-01,424.703
1964-10-31,461.226
1964-11-30,472.224
1964-12-30,467.081
1965-01-29,461.932
1965-02-28,435.218
1965-03-30,423.307
1965-04-29,442.406
1965-05-29,412.942
1965-06-28,438.806
1965-07-28,407.959
1965-08-27,440.604
1965-09-26,415.136
1965-10-26,461.346
1965-11-25,461.581
1965-12-25,456.398
1966-01-24,447.145
1966-02-23,432.460
1966-03-25,450.313
1966-04-24,415.258
1966-05-24,376.095
1966-06-23,408.888
1966-07-23,377.836
1966-08-22,390.266
1966-09-21,398.627
1966-10-21,430.137
1966-11-20,449.422
1966-12-20,438.749
1967-01-19,411.706
1967-02-18,407.823
1967-03-20,414.853
1967-04-19,378.199
1967-05-19,360.633
1967-06-18,403.184
1967-07-18,386.979
1967-08-17,389.912
1967-09-16,369.577
1967-10-16,413.588
1967-11-15,415.168
1967-12-15,424.974
1968-01-14,429.304
1968-02-13,377.375
1968-03-14,389.923
1968-04-13,390.120
1968-05-13,358.708
1968-06-12,401.516
1968-07-12,359.070
1968-08-11,381.275
1968-09-10,367.697
1968-10-10,410.595
1968-11-09,405.289
1968-12-09,419.286
1969-01-08,390.519
1969-02-07,374.149
1969-03-09,388.151
1969-04-08,377.291
1969-05-08,351.210
1969-06-07,356.921
1969-07-07,354.333
1969-08-06,393.286
1969-09-05,387.943
1969-10-05,404.773
1969-11-04,404.977
1969-12-04,413.507
1970-01-03,409.551
1970-02-02,368.087
1970-03-04,405.795
1970-04-03,368.458
1970-05-03,370.035
1970-06-02,381.356
1970-07-02,387.118
1970-08-01,381.740
1970-08-31,376.357
1970-09-30,410.017
1970-10-30,421.386
1970-11-29,410.430
1970-12-29,400.859
1971-01-28,403.856
1971-02-27,401.262
1971-03-29,404.262
1971-04-28,362.479
1971-05-28,404.669
1971-06-27,378.254
1971-07-27,391.059
1971-08-26,409.486
1971-09-25,450.380
1971-10-25,459.029
1971-11-24,442.406
1971-12-24,451.059
1972-01-23,427.386
1972-02-22,434.633
1972-03-23,388.411
1972-04-22,375.934
1972-05-22,397.253
1972-06-21,398.862
1972-07-21,387.781
1972-08-20,380.921
1972-09-19,398.050
1972-10-19,420.846
1972-11-18,428.121
1972-12-18,421.267
1973-01-17,407.335
1973-02-16,397.633
1973-03-18,380.843
1973-04-17,342.789
1973-05-17,379.807
1973-06-16,345.968
1973-07-16,357.490
1973-08-15,366.185
1973-09-14,360.688
1973-10-14,387.862
1973-11-13,390.899
1973-12-13,359.807
1974-01-12,372.793
1974-02-11,374.403
1974-03-13,346.104
1974-04-12,320.627
1974-05-12,364.984
1974-06-11,356.608
1974-07-11,359.640
1974-08-10,354.108
1974-09-09,351.428
1974-10-09,365.896
1974-11-08,388.958
1974-12-08,371.984
1975-01-07,336.384
1975-02-06,365.194
1975-03-08,365.377
1975-04-07,335.454
1975-05-07,342.792
1975-06-06,332.918
1975-07-06,350.313
1975-08-05,353.360
1975-09-04,380.842
1975-10-04,375.280
1975-11-03,388.414
1975-12-03,381.411
1976-01-02,362.881
1976-02-01,380.350
1976-03-02,354.593
1976-04-01,315.831
1976-05-01,356.389
1976-05-31,333.469
1976-06-30,363.965
1976-07-30,338.135
1976-08-29,393.242
1976-09-28,389.098
1976-10-28,367.583
1976-11-27,376.453
1976-12-27,338.976
1977-01-26,375.378
1977-02-25,345.113
1977-03-27,316.269
1977-04-26,362.873
1977-05-26,339.818
1977-06-25,331.269
1977-07-25,356.145
1977-08-24,373.775
1977-09-23,398.696
1977-10-23,391.615
1977-11-22,381.613
1977-12-22,352.657
1978-01-21,389.281
1978-02-20,386.557
1978-03-22,340.047
1978-04-21,381.099
1978-05-21,359.375
1978-06-20,369.784
1978-07-20,365.580
1978-08-19,402.337
1978-09-18,405.463
1978-10-18,401.270
1978-11-17,391.212
1978-12-17,351.825
1979-01-16,379.866
1979-02-15,362.445
1979-03-17,350.879
1979-04-16,402.462
1979-05-16,357.104
1979-06-15,392.567
1979-07-15,361.870
1979-08-14,403.257
1979-09-13,446.158
1979-10-13,408.075
1979-11-12,392.063
1979-12-12,374.561
1980-01-11,385.073
